errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,degree,activities,alphabetsize,winners,poolsize,efficacy,refficacy,retrievedproportion,eta,aeta
.37,1,.14142063685825892,256,8,10000,1,4,1,1000,.2818096031213518,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,.17754004996645162,.35508009993290324,6300,.17754004996645162,.21972656250000003
.879,1,.456550053187779,256,8,10000,1,4,1,1000,.5867392137544982,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,.07099544486429428,.14199088972858856,1210,.07099544486429428,.07909793377946785
.5529999999999999,1,.14876719883510045,256,8,10000,1,4,1,1000,.2818096031213518,sum_of_sum!,erase_clusters!,.01,0,0,1,256,0,1,.12596889259524427,.25193778519048854,4470.000000000001,.12596889259524427,.15590122767857145
.958,1,.457789557320731,256,8,10000,1,4,1,1000,.5867392137544982,sum_of_sum!,erase_clusters!,.01,0,0,2,32640,0,1,.02464304697768895,.0492860939553779,420.0000000000004,.02464304697768895,.027455481146592173
.6579999999999999,1,.15594046456473215,256,8,10000,1,4,1,1000,.2818096031213518,sum_of_sum!,erase_clusters!,.02,0,0,1,256,0,1,.09637888426750234,.19275776853500468,3420.000000000001,.09637888426750234,.11928013392857147
.985,1,.4584317888532366,256,8,10000,1,4,1,1000,.5867392137544982,sum_of_sum!,erase_clusters!,.02,0,0,2,32640,0,1,.00880108820631748,.01760217641263496,150.00000000000014,.00880108820631748,.009805528980925775
.764,1,.16299002511160715,256,8,10000,1,4,1,1000,.2818096031213518,sum_of_sum!,erase_clusters!,.03,0,0,1,256,0,1,.06650706633663901,.13301413267327802,2360,.06650706633663901,.08231026785714286
.997,1,.45910617283412386,256,8,10000,1,4,1,1000,.5867392137544982,sum_of_sum!,erase_clusters!,.03,0,0,2,32640,0,1,.0017602176412634962,.0035204352825269924,30.00000000000003,.0017602176412634962,.001961105796185155
.849,1,.17013468061174666,256,8,10000,1,4,1,1000,.2818096031213518,sum_of_sum!,erase_clusters!,.04,0,0,1,256,0,1,.04255325007132413,.08510650014264826,1510.0000000000002,.04255325007132413,.052664620535714295
.996,1,.46053641183035715,256,8,10000,1,4,1,1000,.5867392137544982,sum_of_sum!,erase_clusters!,.04,0,0,2,32640,0,1,.002346956855017995,.00469391371003599,40.000000000000036,.002346956855017995,.0026148077282468736
.9,1,.1773531777518136,256,8,10000,1,4,1,1000,.2818096031213518,sum_of_sum!,erase_clusters!,.05,0,0,1,256,0,1,.028180960312135173,.05636192062427035,999.9999999999998,.028180960312135173,.03487723214285714
1,1,.4614947182791574,256,8,10000,1,4,1,1000,.5867392137544982,sum_of_sum!,erase_clusters!,.05,0,0,2,32640,0,1,0,0,0,0,0
.0010000000000000009,1.362,.14134870256696427,256,8,10000,1,4,4,1000,.2818096031213518,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,.28152779351823043,.5630555870364609,9990,.28152779351823043,.3484235491071429
.028000000000000025,2.159,.45717620849609375,256,8,10000,1,4,4,1000,.5867392137544982,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,.5703105157693723,1.1406210315387446,9720,.5703105157693723,.6353982779639896
.010000000000000009,1.603,.14866747174944198,256,8,10000,1,4,4,1000,.2818096031213518,sum_of_sum!,erase_clusters!,.01,0,0,1,256,0,1,.27899150709013826,.5579830141802765,9900,.27899150709013826,.34528459821428575
.21899999999999997,2.869,.4577751159667969,256,8,10000,1,4,4,1000,.5867392137544982,sum_of_sum!,erase_clusters!,.01,0,0,2,32640,0,1,.45824332594226314,.9164866518845263,7810,.45824332594226314,.5105412089402016
