errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,degree,activities,alphabetsize,winners,poolsize,efficacy,refficacy
0,1,.015148798624674479,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.03752577059369939,.05003436079159918
0,1,.015146043565538196,512,4,1000,1,1,4,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.03752577059369939,.05003436079159918
.0006666666666666673,1,.015143288506401911,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.03750075341330359,.07500150682660718
0,1.0006666666666666,.015129513210720485,512,4,1000,1,2,4,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.03752577059369939,.07505154118739878
0,1,.03005536397298177,512,4,2000,1,1,1,1000,.07377997543219045,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.07377997543219045,.09837330057625393
0,1,.030048370361328125,512,4,2000,1,1,4,1000,.07377997543219045,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.07377997543219045,.09837330057625393
.0013333333333333346,1,.030052608913845483,512,4,2000,1,2,1,1000,.07377997543219045,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.07368160213161419,.14736320426322838
0,1.0006666666666666,.03005557590060764,512,4,2000,1,2,4,1000,.07377997543219045,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.07377997543219045,.1475599508643809
0,1,.04476081000434028,512,4,3000,1,1,1,1000,.1095542357222886,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.1095542357222886,.14607231429638481
0,1,.04475275675455729,512,4,3000,1,1,4,1000,.1095542357222886,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.1095542357222886,.14607231429638481
.0043333333333333375,1,.044757843017578125,512,4,3000,1,2,1,1000,.1095542357222886,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.10907950070082535,.2181590014016507
0,1.0056666666666667,.044756995307074644,512,4,3000,1,2,4,1000,.1095542357222886,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.1095542357222886,.2191084714445772
0,1,.059236102634006076,512,4,4000,1,1,1,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.14501681935396424,.193355759138619
0,1,.05922084384494358,512,4,4000,1,1,4,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.14501681935396424,.193355759138619
.014333333333333345,1,.0592286851671007,512,4,4000,1,2,1,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.14293824494322407,.28587648988644815
0,1.0103333333333333,.05923928154839409,512,4,4000,1,2,4,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.14501681935396424,.2900336387079285
0,1,.073467042711046,512,4,5000,1,1,1,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.18024764233970972,.24033018978627962
.00033333333333333365,1.0010000000000001,.07344500223795573,512,4,5000,1,1,4,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.18018755979226314,.2402500797230175
.0356666666666667,1,.07348336113823783,512,4,5000,1,2,1,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.1738188097629267,.3476376195258534
.0010000000000000009,1.038,.07345644632975261,512,4,5000,1,2,4,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.18006739469737001,.36013478939474003
0,1,.08746592203776042,512,4,6000,1,1,1,1000,.2152937741789522,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2152937741789522,.28705836557193626
.001666666666666668,1.005,.08744833204481338,512,4,6000,1,1,4,1000,.2152937741789522,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.21493495122198727,.2865799349626497
.06666666666666665,1,.08743985493977864,512,4,6000,1,2,1,1000,.2152937741789522,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2009408559003554,.4018817118007108
.0010000000000000009,1.0756666666666665,.08750237358940971,512,4,6000,1,2,4,1000,.2152937741789522,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.21507848040477326,.4301569608095465
.0010000000000000009,1,.10133637322319877,512,4,7000,1,1,1,1000,.2501863168202817,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.24993613050346142,.3332481740046152
.0006666666666666673,1.002,.10131878323025174,512,4,7000,1,1,4,1000,.2501863168202817,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2500195259424015,.33335936792320203
.11299999999999999,1,.10127215915256076,512,4,7000,1,2,1,1000,.2501863168202817,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.22191526301958986,.4438305260391797
.0006666666666666673,1.1146666666666667,.10133552551269531,512,4,7000,1,2,4,1000,.2501863168202817,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2500195259424015,.500039051884803
.0023333333333333353,1,.11492241753472222,512,4,8000,1,1,1,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2842824984771586,.3790433313028781
.001666666666666668,1.0050000000000001,.11487409803602429,512,4,8000,1,1,4,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2844724633942833,.3792966178590444
.18200000000000002,1,.11498620775010852,512,4,8000,1,2,1,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2330869533120438,.4661739066240876
.0040000000000000036,1.2113333333333334,.11494085523817273,512,4,8000,1,2,4,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2838075861843467,.5676151723686934
.003333333333333336,1,.1283662584092882,512,4,9000,1,1,1,1000,.31959347899043705,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.3185281673938023,.4247042231917364
.0020000000000000018,1.006,.1283594767252604,512,4,9000,1,1,4,1000,.31959347899043705,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.3189542920324562,.4252723893766082
.27033333333333337,1,.12834337022569442,512,4,9000,1,2,1,1000,.31959347899043705,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.23319670850335558,.46639341700671116
.0046666666666666705,1.2683333333333333,.1283872392442491,512,4,9000,1,2,4,1000,.31959347899043705,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.3181020427551483,.6362040855102966
.005666666666666671,1,.14155493842230904,512,4,10000,1,1,1,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.352130676986592,.469507569315456
.005666666666666671,1.0170000000000001,.1414922078450521,512,4,10000,1,1,4,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.352130676986592,.469507569315456
.35799999999999993,1,.141387939453125,512,4,10000,1,2,1,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.2273562466899686,.4547124933799372
.01100000000000001,1.3706666666666667,.14158863491482207,512,4,10000,1,2,4,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.35024194388844065,.7004838877768813
.008666666666666675,1,.15456242031521267,512,4,11000,1,1,1,1000,.3885895552476006,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.38522177910212135,.5136290388028285
.010333333333333342,1.031,.15453423394097224,512,4,11000,1,1,4,1000,.3885895552476006,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.3845741298433754,.5127655064578339
.46199999999999997,1,.15453147888183594,512,4,11000,1,2,1,1000,.3885895552476006,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.20906118072320912,.41812236144641823
.020666666666666684,1.5170000000000001,.1544971466064453,512,4,11000,1,2,4,1000,.3885895552476006,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,3,.38055870443915013,.7611174088783003
